2025-07-12T09:43:43.750+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration'
2025-07-12T09:43:43.755+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$EnableTransactionManagementConfiguration$CglibAutoProxyConfiguration'
2025-07-12T09:43:43.756+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$EnableTransactionManagementConfiguration'
2025-07-12T09:43:43.756+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$TransactionTemplateConfiguration'
2025-07-12T09:43:43.756+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionTemplate'
2025-07-12T09:43:43.756+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'transactionTemplate' via factory method to bean named 'transactionManager'
2025-07-12T09:43:43.757+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration'
2025-07-12T09:43:43.757+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.client.RestClientAutoConfiguration'
2025-07-12T09:43:43.758+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'httpMessageConvertersRestClientCustomizer'
2025-07-12T09:43:43.758+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'restClientSsl'
2025-07-12T09:43:43.758+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'restClientSsl' via factory method to bean named 'sslBundleRegistry'
2025-07-12T09:43:43.759+03:00 DEBUG 15065 --- [habit-service] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'restClientBuilderConfigurer'
